INFO [160] mean_scaled_reward=12.112454 arm_usage={'coverage_first': 87, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 895} hist(last≤200)=[57, 46, 38, 28, 8, 2, 12, 9]
INFO [161] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5853.75
INFO [162] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=13978.75
INFO [163] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9437.50
INFO [164] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14505.00
INFO [165] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=10906.25
INFO [166] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=13216.25
INFO [167] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11000.00
INFO [168] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14302.50
INFO [169] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9236.88
INFO [170] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=7288.75
INFO [171] n040w8 | 0.07s | weeks=8 | mean_unscaled_traj=6980.00
INFO [172] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11381.25
INFO [173] n100w8 | 0.18s | weeks=8 | mean_unscaled_traj=14216.25
INFO [174] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11001.25
INFO [175] n060w8 | 0.11s | weeks=8 | mean_unscaled_traj=12007.50
INFO [176] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24556.88
INFO [177] n120w8 | 0.22s | weeks=8 | mean_unscaled_traj=24609.38
INFO [178] n030w4 | 0.02s | weeks=4 | mean_unscaled_traj=5948.75
INFO [179] n080w8 | 0.14s | weeks=8 | mean_unscaled_traj=11036.25
INFO [180] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5824.38
INFO [180] mean_scaled_reward=12.112689 arm_usage={'coverage_first': 95, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 1011} hist(last≤200)=[47, 42, 48, 31, 12, 1, 11, 8]
INFO [181] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5871.88
INFO [182] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=25076.25
INFO [183] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=6790.00
INFO [184] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6845.00
INFO [185] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5819.38
INFO [186] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14736.25
INFO [187] n100w4 | 0.05s | weeks=4 | mean_unscaled_traj=14063.75
INFO [188] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6736.25
INFO [189] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=23485.00
INFO [190] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=24158.75
INFO [191] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5552.50
INFO [192] n050w8 | 0.09s | weeks=8 | mean_unscaled_traj=9386.25
INFO [193] n100w8 | 0.17s | weeks=8 | mean_unscaled_traj=14700.00
INFO [194] n120w4 | 0.06s | weeks=4 | mean_unscaled_traj=23348.75
INFO [195] n030w8 | 0.06s | weeks=8 | mean_unscaled_traj=5626.88
INFO [196] n060w4 | 0.03s | weeks=4 | mean_unscaled_traj=7867.50
INFO [197] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=6905.00
INFO [198] n040w4 | 0.02s | weeks=4 | mean_unscaled_traj=7067.50
INFO [199] n120w8 | 0.21s | weeks=8 | mean_unscaled_traj=25076.88
INFO [200] n080w4 | 0.04s | weeks=4 | mean_unscaled_traj=11480.00
INFO [200] mean_scaled_reward=12.179772 arm_usage={'coverage_first': 102, 'fatigue_aware': 3, 'weekend_balancing': 3, 'preference_respecting': 1120} hist(last≤200)=[24, 70, 25, 28, 12, 4, 17, 20]
INFO Saved checkpoint to experiments/_shared/checkpoints/base_week.npz (17.3s, 200 instances, 1228 rounds)
