INFO [91] n050w4 | 3.42s | rounds=500 | P: 52645 -> 30050 (Δ=+22595) | hard={'H1': 0, 'H2': 1, 'H3': 28, 'H4': 0}
INFO [92] n060w4 | 4.16s | rounds=500 | P: 93335 -> 64515 (Δ=+28820) | hard={'H1': 0, 'H2': 0, 'H3': 41, 'H4': 0}
INFO [93] n060w8 | 8.10s | rounds=500 | P: 126605 -> 86765 (Δ=+39840) | hard={'H1': 0, 'H2': 0, 'H3': 59, 'H4': 0}
INFO [94] n030w8 | 3.80s | rounds=500 | P: 56095 -> 35295 (Δ=+20800) | hard={'H1': 0, 'H2': 2, 'H3': 29, 'H4': 0}
INFO [95] n120w4 | 8.15s | rounds=500 | P: 144260 -> 99625 (Δ=+44635) | hard={'H1': 0, 'H2': 0, 'H3': 68, 'H4': 0}
INFO [96] n040w8 | 5.58s | rounds=500 | P: 95490 -> 64965 (Δ=+30525) | hard={'H1': 0, 'H2': 0, 'H3': 39, 'H4': 0}
INFO [97] n120w4 | 8.24s | rounds=500 | P: 139310 -> 95605 (Δ=+43705) | hard={'H1': 0, 'H2': 0, 'H3': 70, 'H4': 0}
INFO [98] n120w8 | 16.32s | rounds=500 | P: 280315 -> 219815 (Δ=+60500) | hard={'H1': 0, 'H2': 0, 'H3': 157, 'H4': 0}
INFO [99] n120w4 | 8.85s | rounds=500 | P: 141760 -> 95720 (Δ=+46040) | hard={'H1': 0, 'H2': 0, 'H3': 77, 'H4': 0}
INFO [100] n050w4 | 3.36s | rounds=500 | P: 46770 -> 28260 (Δ=+18510) | hard={'H1': 0, 'H2': 2, 'H3': 30, 'H4': 0}
INFO [100] mean_scaled_reward(last≤2000)=1.6875  top5_arms={extend_short_rest=42808, extend_short_same_shift_streak=5899, fix_incomplete_weekend=552, extend_short_work_streak=196, break_long_work_streak_end=173}
INFO Saved checkpoint to experiments/_shared/checkpoints/base_repair.npz (690.6s, 100 instances, 50000 rounds)
