[exp11] 6 bundled instances

[exp11] n005w4 H0 W[1, 2, 3, 3]
  start=mid bandit=linucb rounds=100 P0=4230 -> 4000 (Δ=+230)
  start=mid bandit=linucb rounds=250 P0=4230 -> 4000 (Δ=+230)
  start=mid bandit=linucb rounds=500 P0=4230 -> 3950 (Δ=+280)
  start=mid bandit=linucb rounds=1000 P0=4230 -> 4130 (Δ=+100)
  start=mid bandit=uniform rounds=0 P0=4230 -> 4230 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4230 -> 4280 (Δ=-50)
  start=mid bandit=uniform rounds=100 P0=4230 -> 4110 (Δ=+120)
  start=mid bandit=uniform rounds=250 P0=4230 -> 4290 (Δ=-60)
  start=mid bandit=uniform rounds=500 P0=4230 -> 4320 (Δ=-90)
  start=mid bandit=uniform rounds=1000 P0=4230 -> 4070 (Δ=+160)
  start=bandp bandit=linucb rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=100 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=250 P0=2010 -> 2235 (Δ=-225)
  start=bandp bandit=linucb rounds=500 P0=2010 -> 2340 (Δ=-330)
  start=bandp bandit=linucb rounds=1000 P0=2010 -> 2835 (Δ=-825)
  start=bandp bandit=uniform rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=2010 -> 2680 (Δ=-670)
  start=bandp bandit=uniform rounds=100 P0=2010 -> 3020 (Δ=-1010)
  start=bandp bandit=uniform rounds=250 P0=2010 -> 3395 (Δ=-1385)
  start=bandp bandit=uniform rounds=500 P0=2010 -> 3260 (Δ=-1250)
  start=bandp bandit=uniform rounds=1000 P0=2010 -> 3220 (Δ=-1210)
  start=greedy bandit=linucb rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=4775 -> 4320 (Δ=+455)
  start=greedy bandit=linucb rounds=100 P0=4775 -> 4280 (Δ=+495)
  start=greedy bandit=linucb rounds=250 P0=4775 -> 3890 (Δ=+885)
  start=greedy bandit=linucb rounds=500 P0=4775 -> 3870 (Δ=+905)
  start=greedy bandit=linucb rounds=1000 P0=4775 -> 3925 (Δ=+850)
  start=greedy bandit=uniform rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4775 -> 4655 (Δ=+120)
  start=greedy bandit=uniform rounds=100 P0=4775 -> 4885 (Δ=-110)
  start=greedy bandit=uniform rounds=250 P0=4775 -> 4560 (Δ=+215)
  start=greedy bandit=uniform rounds=500 P0=4775 -> 4425 (Δ=+350)
  start=greedy bandit=uniform rounds=1000 P0=4775 -> 3590 (Δ=+1185)
  start=mid bandit=linucb rounds=0 P0=4045 -> 4045 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4045 -> 3740 (Δ=+305)
  start=mid bandit=linucb rounds=100 P0=4045 -> 3740 (Δ=+305)
  start=mid bandit=linucb rounds=250 P0=4045 -> 3725 (Δ=+320)
  start=mid bandit=linucb rounds=500 P0=4045 -> 4035 (Δ=+10)
  start=mid bandit=linucb rounds=1000 P0=4045 -> 3660 (Δ=+385)
  start=mid bandit=uniform rounds=0 P0=4045 -> 4045 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4045 -> 3840 (Δ=+205)
  start=mid bandit=uniform rounds=100 P0=4045 -> 4080 (Δ=-35)
  start=mid bandit=uniform rounds=250 P0=4045 -> 4200 (Δ=-155)
  start=mid bandit=uniform rounds=500 P0=4045 -> 4480 (Δ=-435)
  start=mid bandit=uniform rounds=1000 P0=4045 -> 3500 (Δ=+545)
  start=bandp bandit=linucb rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=100 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=250 P0=2010 -> 2280 (Δ=-270)
  start=bandp bandit=linucb rounds=500 P0=2010 -> 2575 (Δ=-565)
  start=bandp bandit=linucb rounds=1000 P0=2010 -> 2655 (Δ=-645)
  start=bandp bandit=uniform rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=2010 -> 2490 (Δ=-480)
  start=bandp bandit=uniform rounds=100 P0=2010 -> 2585 (Δ=-575)
  start=bandp bandit=uniform rounds=250 P0=2010 -> 2865 (Δ=-855)
  start=bandp bandit=uniform rounds=500 P0=2010 -> 3430 (Δ=-1420)
  start=bandp bandit=uniform rounds=1000 P0=2010 -> 3255 (Δ=-1245)
  start=greedy bandit=linucb rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=4775 -> 4305 (Δ=+470)
  start=greedy bandit=linucb rounds=100 P0=4775 -> 4410 (Δ=+365)
  start=greedy bandit=linucb rounds=250 P0=4775 -> 4015 (Δ=+760)
  start=greedy bandit=linucb rounds=500 P0=4775 -> 4000 (Δ=+775)
  start=greedy bandit=linucb rounds=1000 P0=4775 -> 3900 (Δ=+875)
  start=greedy bandit=uniform rounds=0 P0=4775 -> 4775 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=4775 -> 4845 (Δ=-70)
  start=greedy bandit=uniform rounds=100 P0=4775 -> 4975 (Δ=-200)
  start=greedy bandit=uniform rounds=250 P0=4775 -> 4845 (Δ=-70)
  start=greedy bandit=uniform rounds=500 P0=4775 -> 4705 (Δ=+70)
  start=greedy bandit=uniform rounds=1000 P0=4775 -> 4170 (Δ=+605)
  start=mid bandit=linucb rounds=0 P0=4000 -> 4000 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4000 -> 3770 (Δ=+230)
  start=mid bandit=linucb rounds=100 P0=4000 -> 3770 (Δ=+230)
  start=mid bandit=linucb rounds=250 P0=4000 -> 3895 (Δ=+105)
  start=mid bandit=linucb rounds=500 P0=4000 -> 4100 (Δ=-100)
  start=mid bandit=linucb rounds=1000 P0=4000 -> 3630 (Δ=+370)
